"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","M"
13101001400,13101,"14","","千代田区No.14遺跡","千代田区 大手町二丁目","[中世]","単独出土地","","銅鐘",139.7683707,35.68525565,TRUE
13101002200,13101,"22","とうきょうこくりつきんだいびじゅつかんいせき","東京国立近代美術館遺跡","千代田区 北の丸公園","[旧石器時代][縄文時代（早期〜後期）][弥生時代][古墳時代][中世][近世]","集落・城館","[旧石器時代]礫群　[縄文時代][弥生時代][古墳時代]住居　[中世]井戸　土坑群　地下式土坑　溝状遺構　堀　[近世]井戸　石組遺構","縄文土器　弥生土器　土製勾玉　土師器　須恵器　砥石　土錘　石製カ帯　石製模造品　陶磁器　カワラケ　瓦　鉄鏃　板碑　ガラス製品　焼塩壺　銭貨",139.754735,35.69037522,TRUE
13101004100,13101,"41","ひらかわちょういせき","平河町遺跡","千代田区 平河町二丁目","[縄文時代][弥生時代][古墳時代][中世][近世]","包蔵地","[中世]地下式土坑","陶磁器",139.7401839,35.67928786,TRUE
13101004200,13101,"42","きおいちょういせき","紀尾井町遺跡","千代田区 紀尾井町","[旧石器時代][縄文時代（早期・中期〜後期）][弥生時代（後期）][中世][近世][近代]","包蔵地・集落・屋敷","土坑　盛土　土手　石組溝　土坑　埋桶　柱穴　石垣遺構（紀州和歌山藩屋敷関係）　石垣　溝","縄文土器　弥生土器　陶磁器　瓦　金属製品　泥人形　間知石　石製品",139.7371627,35.68084957,TRUE
13101005100,13101,"51","","千代田区No.51遺跡","千代田区 丸の内一丁目","[中世]","墓地跡","","人骨",139.7661971,35.68075227,TRUE
13101005300,13101,"53","","千代田区No.53遺跡","千代田区 有楽町一丁目","[中世][近世]","社寺・上水跡","[中世]墓 [近世]上水道","木樋 人骨",139.7607833,35.67529979,TRUE
13101007300,13101,"73","","千代田区No.73遺跡","千代田区 神田花岡町","[中世][近世]","その他の墓","","",139.7744679,35.69812702,TRUE
13102000200,13102,"2","","中央区No.2遺跡","中央区 日本橋本石町一丁目","[中世]","貝塚","","中世土器　内耳土器　土錘　石器　管状土錘",139.7711986,35.68524433,TRUE
13102000300,13102,"3","にほんばしいっちょうめいせき","日本橋一丁目遺跡","中央区 日本橋一丁目","[中世][近世]","包蔵地","[近世]石組下水　下水木樋　土蔵　穴蔵　埋甕　埋桶　胞衣埋納遺構　芥溜","陶磁器類　土製品(玩具等)　瓦　木製品(漆器椀・下駄他)　金属製品　石製品　ガラス製品　糸繊維製品",139.7748035,35.68259513,TRUE
13102007700,13102,"77","こでんまちょうろうやしきあといせき","小伝馬町牢屋敷跡遺跡","中央区 日本橋小伝馬町","[縄文時代(中期〜晩期)][弥生時代(後期)][古墳時代][奈良時代][平安時代][中世][近世]","屋敷","[近世]土坑　礎石　道路状遺構　建物址　建物基礎　石積・石組　埋桝　石組下水　植栽痕　上水桝　上水木樋　竹","陶磁器　木製品　人骨　瓦類　金属製品　土製品　木製品　銭貨　石製品　骨角貝製品　ガラス製品　動植物遺体　縄文土器　土師器（古墳時代、奈良時代　平安時代）　中世土器・陶器　他",139.7774141,35.6911266,TRUE
13103000700,13103,"7","いまいしろやま","今井城山遺跡","港区 赤坂五丁目","[中世]","城館","","",139.7357195,35.67250843,TRUE
13103001500,13103,"15","にしくぼしろやまいせき","西久保城山遺跡","港区 虎ノ門四丁目","[中世]","城館","","",139.7441082,35.66585452,TRUE
13103001700,13103,"17","おおたどうかんしろあと","太田道灌城跡","港区 虎ノ門五丁目","[中世]","城館","","",139.7431469,35.66328836,TRUE
