"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","N"
13101000500,13101,"5","","千代田区No.5遺跡","千代田区 千代田","[奈良時代][平安時代]","包蔵地","","土師器",139.7534709,35.68565319,TRUE
13101000800,13101,"8","うしがふちかいづか","牛ヶ淵貝塚","千代田区 九段南一丁目","[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]","貝塚","","縄文土器　弥生土器　土師器",139.7510672,35.69479204,TRUE
13101006000,13101,"60","いいだまちいせき","飯田町遺跡","千代田区 飯田町二丁目　 飯田町三丁目","[縄文時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","[近世]屋敷境　地下室　土坑　上水道　石組溝　井戸　庭園","縄文土器　土師器　須恵器　陶磁器　瓦　砥石　硯　漆器　下駄　曲物",139.7498656,35.70120476,TRUE
13102007700,13102,"77","こでんまちょうろうやしきあといせき","小伝馬町牢屋敷跡遺跡","中央区 日本橋小伝馬町","[縄文時代(中期～晩期)][弥生時代(後期)][古墳時代][奈良時代][平安時代][中世][近世]","屋敷","[近世]土坑　礎石　道路状遺構　建物址　建物基礎　石積・石組　埋桝　石組下水　植栽痕　上水桝　上水木樋　竹","陶磁器　木製品　人骨　瓦類　金属製品　土製品　木製品　銭貨　石製品　骨角貝製品　ガラス製品　動植物遺体　縄文土器　土師器（古墳時代、奈良時代　平安時代）　中世土器・陶器　他",139.7774141,35.6911266,TRUE
13103005200,13103,"52","","港区No.52遺跡","港区 芝二丁目","[奈良時代以降]","貝塚","","土錘",139.7501336,35.65254864,TRUE
13103006400,13103,"64","たかなわみなみまちいせき","高輪南町遺跡","港区 高輪三丁目","[縄文時代（中期）][弥生時代（後期）][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷・その他（道路）","住居跡　炉跡　土坑　道路状遺構　竪穴建物跡　方形周溝墓　焼土廃棄土坑　地下室","[縄文時代][弥生時代][古墳時代]土器　[奈良・平安時代]土師器　須恵器　石器　[近世]陶磁器　土器　金属製品",139.7332249,35.63236242,TRUE
13103007500,13103,"75","みただいまちいせき","三田台町遺跡","港区 三田四丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代]","集落","[弥生時代]?　住居　[古墳時代]住居","石器　縄文土器　弥生土器　土師器　須恵器",139.7391129,35.64187723,TRUE
13103010000,13103,"100","","港区No.100遺跡","港区 虎ノ門四丁目","[縄文時代（前期～後期）][弥生時代][古墳時代][奈良時代][平安時代]","包蔵地","","縄文土器　打斧　磨斧　磨石　弥生土器　土師器　須恵器",139.7431641,35.66505958,TRUE
13103010900,13103,"109","","港区No.109遺跡","港区 三田一丁目","[奈良時代][平安時代]","包蔵地","","土器",139.7393001,35.65342183,TRUE
13103013300,13103,"133","おうみやまがみはんいながきけやしきあといせき","近江山上藩稲垣家屋敷跡遺跡","港区 六本木一丁目","[縄文時代（前）][古墳時代][奈良時代][近世]","集落跡　屋敷","[縄文時代]住居跡[古墳時代]住居跡[奈良時代]住居跡[近世]土坑　地下室　井戸　廃棄土坑　上水跡","[縄文時代]土器[古墳時代]土師器[奈良時代]須恵器[近世]陶磁器　土器　瓦",139.74222,35.66511537,TRUE
13103014500,13103,"145","じょうきょうじあと・じょうきょうじもんぜんまちやあと","承教寺跡・承教寺門前町屋跡遺跡","港区 高輪二丁目","[奈良時代][平安時代][近世]","集落、社寺、その他（町屋跡）","[奈良・平安時代]竪穴住居跡　[近世]地下室　土坑　ピット　井戸　礎石","(奈良・平安)土師器　須恵器　耳環　(近世)陶磁器　土器　瓦　土製品　動物遺体",139.7344609,35.63605966,TRUE
13103015600,13103,"156","いわみつわのはんかめいけやしきあといせき","石見津和野藩亀井家屋敷跡遺跡","港区 南麻布四丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・墳墓・屋敷","土坑　礎石　道路状遺構　大型方形区画　井戸　墳墓","[縄文時代]土器　[中世]陶器　[江]陶磁器　土器　瓦",139.7271824,35.65049816,TRUE
13103021400,13103,"214","ちくごくるめはんありまけやしきあといせき","筑後久留米藩有馬家屋敷跡遺跡","港区 三田一丁目","[古墳時代][奈良時代][平安時代][近世]","集落・屋敷","[近世]土坑　小穴　等","[近世]陶磁器　瓦等　[古墳時代][奈良時代][平安時代]土師器片",139.7411666,35.65279476,TRUE
13104000200,13104,"2","おちあいいせき","落合遺跡","新宿区 中落合四丁目　 中井一丁目　 中井二丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[旧石器時代]礫群　[縄文時代]竪穴住居　土坑　炉跡　集石　土器焼成坑　ピット　[弥生時代]竪穴住居　掘立柱建物跡　方形周溝墓　[古墳時代]住居　[奈良時代][平安時代]掘立柱建物　竪穴住居跡　土坑　[近世]杭列　焼土　溝状遺構　ピット　[時期不明]建物　住居　ピット　溝","石器　ナイフ形石器　石核　剥片　砕片　縄文土器　打斧　石槍　石鏃　石核　弥生土器　石包丁　土師器　須恵器　鉄製品　陶磁器　刀子　砥石　坏",139.6805457,35.71627471,TRUE
13104000300,13104,"3","","新宿区No.3遺跡","新宿区 中井二丁目","[奈良時代][平安時代]","集落","[奈良時代][平安時代]竪穴住居跡","土器　土師器　須恵器　鉄滓",139.6865538,35.71680433,TRUE
13104000600,13104,"6","おちあいおうけつぼぐん","落合横穴墓群","新宿区 下落合四丁目","[奈良時代]","横穴墓","[奈良時代]横穴墓","人骨　鉄製直刀　貝類",139.6972998,35.71805869,TRUE
13104001000,13104,"10","とやまがはらうえのだいいせき","戸山ヶ原上ノ台遺跡","新宿区 百人町四丁目　 北新宿四丁目","[旧石器時代][縄文時代（中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代]","包蔵地・集落","[旧石器時代]集中地点　[縄文時代]竪穴住居跡　土坑　炉穴　集石　ピット　[古墳時代]竪穴住居跡　住居跡　ピット　[近世]土坑　ピット","ナイフ形石器　角錐状石器　リタッチドフレイク　フレイク　チップ　縄文土器　土偶　土製垂飾品　石器　弥生土器　土師器　　灰釉陶器　鉄器　陶磁器類　煙草吸口　銭貨　笄　ガラス瓶類",139.6947029,35.70849936,TRUE
13104001700,13104,"17","いちがやさどはらちょうさんちょうめいせき","市谷砂土原町三丁目遺跡","新宿区 市谷砂土原町三丁目","[縄文時代（前期、中期、後期）][弥生時代（後期）][古墳時代][奈良時代][近世]","包蔵地・集落・屋敷","[近世]ごみ穴 土坑 土取穴 地下室 井戸 植栽痕 溝状遺構 小穴 建物跡 採土坑 井戸跡 厠跡 貝類集中部 石列","磁器 陶器 せっ器 土器 瓦 土製品 金属製品 木製品 骨角製品 ガラス製品 石製品",139.7368646,35.69725793,TRUE
13104003500,13104,"35","みょうしょうじがわNo.1いせき","妙正寺川No.1遺跡","新宿区 西落合二丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地","[旧石器時代]礫群　[縄文時代]土坑　[近世]水田址　井戸状遺構","材　縄文土器　石器　木製品　弥生土器　陶器　磁器　埴輪　土製品　石製品　金属製品　土師器",139.6748036,35.72067884,TRUE
13104004300,13104,"43","ひゃくにんちょうさんちょうめいせき","百人町三丁目遺跡","新宿区 百人町二丁目 百人町三丁目 百人町四丁目 大久保三丁目","[旧石器時代][縄文時代（早期・中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","[旧石器時代]土坑 [縄文時代]土坑 [奈良時代]ピット [近世]溝 土坑 焼土集中地点 半地下室 土坑 井戸 小穴 溝状遺構 地下室 柱穴 杭穴 胞衣理納遺構・礎石建物跡","石器 礫 縄文土器 石器 弥生土器 土師器 国分寺瓦片 磁器 陶器 土師質土器 金属製品 石製品 動物遺存体 せっ器 近世土器 瓦 土製品 木製品 石製品 自然遺物 ガラス製品 植木鉢 土製品 骨角製品 火縄銃の弾 美濃系陶器志野 内耳付焙烙",139.7008827,35.7061576,TRUE
13104004900,13104,"49","しもとつかいせき","下戸塚遺跡","新宿区 西早稲田一丁目　 西早稲田三丁目","[旧石器時代][縄文時代（草創期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷","[旧石器時代]石器ブロック　礫群　[縄文時代]土坑　集石遺構　土坑　炉穴　陥坑　[弥生時代]竪穴式住居　環壕　方形周溝墓　土坑　[古墳時代]竪穴式住居跡　土坑　方形周溝墓　円墳　[奈良時代]竪穴式住居　土坑　掘立柱建物跡　溝　[中世]掘立柱建物跡　柵列　井戸　地下式坑　土坑　溝　方形周溝状区画溝　[近世]建物跡　柵列　地下室　井戸　土坑　溝状遺構　竪穴状遺構　畝状遺構　ピット","剥片　礫　縄文土器　石器　弥生土器　ガラス製小玉　青銅製品　土製勾玉　蓑玉　炭化米　金属製品　石製有孔円板　滑石製管玉　石製品　鉄製品　ガラス製品　ベンガラ塊　土師器　須恵器　灰釉　緑釉陶器　砥石　土製品　鉄器　墨書土器　磁器　陶器　瓦器　中世土器　埋納銭貨　青磁　土製品　瓦　木製品　近世土器",139.7169465,35.71088671,TRUE
13104005200,13104,"52","とやまいせき","戸山遺跡","新宿区 戸山一丁目","[縄文時代（早期～後期）][弥生時代（後期）][奈良時代]","集落","[縄文時代]炉穴　[弥生時代]住居跡　[奈良時代]住居跡　[近世]井戸　杭列","縄文土器　石器　弥生土器　ガラス小玉　土製品　土器　磁器　陶器　近世土器　瓦　銭貨",139.7167062,35.70472568,TRUE
