"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","Y"
13101000300,13101,"3","","千代田区No.3遺跡","千代田区 千代田","[弥生時代]","包蔵地","","弥生土器",139.7568012,35.6844541,TRUE
13101000800,13101,"8","うしがふちかいづか","牛ヶ淵貝塚","千代田区 九段南一丁目","[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]","貝塚","","縄文土器　弥生土器　土師器",139.7510672,35.69479204,TRUE
13101000900,13101,"9","くだんざかうえかいづか","九段坂上貝塚","千代田区 九段北一丁目","[縄文時代（中期）][弥生時代][平安時代]","貝塚","[弥生時代]V字溝　住居","縄文土器　弥生土器　土師器　須恵器",139.7491794,35.69628581,TRUE
13101001000,13101,"10","ながたちょうにちょうめいせき","永田町二丁目遺跡","千代田区 永田町二丁目","[縄文時代（後期）][弥生時代（中期）][近世]","包蔵地・集落・貝塚・屋敷","[弥生時代]住居跡　土坑　環壕　溝　[近世]土坑　井戸　溝　建物址","石器　弥生土器　陶磁器類　金属　木製品　瓦",139.7438231,35.67281761,TRUE
13101002200,13101,"22","とうきょうこくりつきんだいびじゅつかんいせき","東京国立近代美術館遺跡","千代田区 北の丸公園","[旧石器時代][縄文時代（早期〜後期）][弥生時代][古墳時代][中世][近世]","集落・城館","[旧石器時代]礫群　[縄文時代][弥生時代][古墳時代]住居　[中世]井戸　土坑群　地下式土坑　溝状遺構　堀　[近世]井戸　石組遺構","縄文土器　弥生土器　土製勾玉　土師器　須恵器　砥石　土錘　石製カ帯　石製模造品　陶磁器　カワラケ　瓦　鉄鏃　板碑　ガラス製品　焼塩壺　銭貨",139.754735,35.69037522,TRUE
13101004100,13101,"41","ひらかわちょういせき","平河町遺跡","千代田区 平河町二丁目","[縄文時代][弥生時代][古墳時代][中世][近世]","包蔵地","[中世]地下式土坑","陶磁器",139.7401839,35.67928786,TRUE
13101004200,13101,"42","きおいちょういせき","紀尾井町遺跡","千代田区 紀尾井町","[旧石器時代][縄文時代（早期・中期〜後期）][弥生時代（後期）][中世][近世][近代]","包蔵地・集落・屋敷","土坑　盛土　土手　石組溝　土坑　埋桶　柱穴　石垣遺構（紀州和歌山藩屋敷関係）　石垣　溝","縄文土器　弥生土器　陶磁器　瓦　金属製品　泥人形　間知石　石製品",139.7371627,35.68084957,TRUE
13101004500,13101,"45","ひらかわちょう1-4いせき","平河町1-4遺跡","千代田区 平河町一丁目","[弥生時代（後期）][近世]","集落・町人地跡","[弥生時代]住居　[近世]土坑","弥生土器　陶磁器　獣骨",139.7386046,35.68238336,TRUE
13101004900,13101,"49","いちばんちょういせき","一番町遺跡","千代田区 一番町","[縄文時代][弥生時代][近世]","武家屋敷","[縄文時代]土坑　[弥生時代]方形周溝墓　[近世]建物　土坑　地下室　井戸","縄文土器　弥生土器　陶磁器　瓦　金属製品",139.739685,35.68690979,TRUE
13101005600,13101,"56","さんばんちょういせき","三番町遺跡","千代田区 三番町","[縄文時代（前期・後期）][弥生時代（後期）][近世][近代]","集落・貝塚・屋敷","[縄文時代]貝塚　ピット　住居址　[弥生時代]ピット　住居址　[近世]土坑　溝　地下室　井戸　建物跡","縄文土器　石器（縄文）　耳飾り　弥生土器　石器（弥生）　陶磁器　瓦（近世）　石製品　金属製品（近世）",139.7464141,35.69089728,TRUE
13101007100,13101,"71","","千代田区No.71遺跡","千代田区 千代田","[縄文時代（前期・中期・後期）][弥生時代（後期）][平安時代]","包蔵地","","縄文土器　石器　土錘　土製品　弥生土器　土師器　須恵器",139.7500377,35.68272514,TRUE
13101007800,13101,"78","ふじみにちょうめいせき","富士見二丁目遺跡","千代田区 富士見二丁目","[弥生時代（後期）][近世]","集落・屋敷","[弥生時代]住居址　[近世]土坑　溝","弥生土器　陶磁器類",139.7449565,35.70079368,TRUE
