"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","J"
13101000200,13101,"2","きゅうほんまるにしかいづか","旧本丸西貝塚","千代田区 千代田","[縄文時代（前期〜晩期）]","貝塚","","縄文土器　打斧　石鏃　有溝土錘　骨角器",139.7550845,35.6866013,TRUE
13101000800,13101,"8","うしがふちかいづか","牛ヶ淵貝塚","千代田区 九段南一丁目","[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]","貝塚","","縄文土器　弥生土器　土師器",139.7510672,35.69479204,TRUE
13101000900,13101,"9","くだんざかうえかいづか","九段坂上貝塚","千代田区 九段北一丁目","[縄文時代（中期）][弥生時代][平安時代]","貝塚","[弥生時代]V字溝　住居","縄文土器　弥生土器　土師器　須恵器",139.7491794,35.69628581,TRUE
13101001000,13101,"10","ながたちょうにちょうめいせき","永田町二丁目遺跡","千代田区 永田町二丁目","[縄文時代（後期）][弥生時代（中期）][近世]","包蔵地・集落・貝塚・屋敷","[弥生時代]住居跡　土坑　環壕　溝　[近世]土坑　井戸　溝　建物址","石器　弥生土器　陶磁器類　金属　木製品　瓦",139.7438231,35.67281761,TRUE
13101001100,13101,"11","","千代田区No.11遺跡","千代田区 永田町二丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.7395316,35.6742121,TRUE
13101001200,13101,"12","","千代田区No.12遺跡","千代田区 神田神保町一丁目","[縄文時代][近世]","貝塚　その他（上水道）","竹樋","縄文土器　陶磁器",139.7591696,35.69663226,TRUE
13101001300,13101,"13","めいじだいがくだいがくいんにしがわいせき","明治大学大学院西側遺跡","千代田区 神田駿河台一丁目","[縄文時代（前期）]","包蔵地","","縄文土器",139.7612639,35.6988349,TRUE
13101002100,13101,"21","がいむしょうこうないいせき","外務省構内遺跡","千代田区 霞ヶ関二丁目","[縄文時代][近世]","大名屋敷","[近世]井戸　石組溝　上水桝　石垣　溝状遺構","縄文土器　陶磁器　瓦　金属製品　木製品　動物遺体",139.7498313,35.67437944,TRUE
13101002200,13101,"22","とうきょうこくりつきんだいびじゅつかんいせき","東京国立近代美術館遺跡","千代田区 北の丸公園","[旧石器時代][縄文時代（早期〜後期）][弥生時代][古墳時代][中世][近世]","集落・城館","[旧石器時代]礫群　[縄文時代][弥生時代][古墳時代]住居　[中世]井戸　土坑群　地下式土坑　溝状遺構　堀　[近世]井戸　石組遺構","縄文土器　弥生土器　土製勾玉　土師器　須恵器　砥石　土錘　石製カ帯　石製模造品　陶磁器　カワラケ　瓦　鉄鏃　板碑　ガラス製品　焼塩壺　銭貨",139.754735,35.69037522,TRUE
13101004100,13101,"41","ひらかわちょういせき","平河町遺跡","千代田区 平河町二丁目","[縄文時代][弥生時代][古墳時代][中世][近世]","包蔵地","[中世]地下式土坑","陶磁器",139.7401839,35.67928786,TRUE
13101004200,13101,"42","きおいちょういせき","紀尾井町遺跡","千代田区 紀尾井町","[旧石器時代][縄文時代（早期・中期〜後期）][弥生時代（後期）][中世][近世][近代]","包蔵地・集落・屋敷","土坑　盛土　土手　石組溝　土坑　埋桶　柱穴　石垣遺構（紀州和歌山藩屋敷関係）　石垣　溝","縄文土器　弥生土器　陶磁器　瓦　金属製品　泥人形　間知石　石製品",139.7371627,35.68084957,TRUE
13101004900,13101,"49","いちばんちょういせき","一番町遺跡","千代田区 一番町","[縄文時代][弥生時代][近世]","武家屋敷","[縄文時代]土坑　[弥生時代]方形周溝墓　[近世]建物　土坑　地下室　井戸","縄文土器　弥生土器　陶磁器　瓦　金属製品",139.739685,35.68690979,TRUE
13101005500,13101,"55","はやぶさちょういせき","隼町遺跡","千代田区 隼町","[縄文時代][近世]","包蔵地・武家屋敷跡","[時期不明]土坑　ピット","縄文土器　陶磁器",139.7426901,35.68310842,TRUE
13101005600,13101,"56","さんばんちょういせき","三番町遺跡","千代田区 三番町","[縄文時代（前期・後期）][弥生時代（後期）][近世][近代]","集落・貝塚・屋敷","[縄文時代]貝塚　ピット　住居址　[弥生時代]ピット　住居址　[近世]土坑　溝　地下室　井戸　建物跡","縄文土器　石器（縄文）　耳飾り　弥生土器　石器（弥生）　陶磁器　瓦（近世）　石製品　金属製品（近世）",139.7464141,35.69089728,TRUE
13101005700,13101,"57","おわりはんこうじまちていあと","尾張藩麹町邸跡","千代田区 紀尾井町　 麹町六丁目","[縄文時代（早期・中期・晩期）][近世]","屋敷","建物址　地下室　井戸　溝　土坑　小穴　麹室　上水跡　柱穴　墓壙　埋甕　井戸址　礎石","陶磁器　瓦　金属製品　木製品　動物遺存体　縄文土器　人骨",139.7324409,35.68314519,TRUE
13101005800,13101,"58","ためいけいせき","溜池遺跡","千代田区 永田町二丁目","[縄文時代（前期・後期）][近世]","包蔵地・社寺・屋敷","[近世]建物　土留遺構　石組　井戸","陶磁器　漆器　木製品　建築材　動植物遺体",139.7413855,35.67348697,TRUE
13101006000,13101,"60","いいだまちいせき","飯田町遺跡","千代田区 飯田町二丁目　 飯田町三丁目","[縄文時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","[近世]屋敷境　地下室　土坑　上水道　石組溝　井戸　庭園","縄文土器　土師器　須恵器　陶磁器　瓦　砥石　硯　漆器　下駄　曲物",139.7498656,35.70120476,TRUE
13101006500,13101,"65","ほうせいだいがくこうないいせき","法政大学構内遺跡","千代田区 富士見二丁目","[縄文時代（前期）][近世]","包蔵地・屋敷","[縄文時代]溝　小穴　[弥生〜中世]溝　土坑[近世]溝　道路跡　溝　建物跡　穴蔵　井戸","縄文土器　弥生土器　石器　土師器　須恵器　陶磁器　　瓦　銭貨　金属製品　もく世田谷区品　骨角製品",139.7404933,35.69527317,TRUE
13101007100,13101,"71","","千代田区No.71遺跡","千代田区 千代田","[縄文時代（前期・中期・後期）][弥生時代（後期）][平安時代]","包蔵地","","縄文土器　石器　土錘　土製品　弥生土器　土師器　須恵器",139.7500377,35.68272514,TRUE
13102000100,13102,"1","","中央区No.1遺跡","中央区 日本橋本石町二丁目","[縄文時代]","包蔵地・集落","","縄文土器",139.7714904,35.6864713,TRUE
13102007700,13102,"77","こでんまちょうろうやしきあといせき","小伝馬町牢屋敷跡遺跡","中央区 日本橋小伝馬町","[縄文時代(中期〜晩期)][弥生時代(後期)][古墳時代][奈良時代][平安時代][中世][近世]","屋敷","[近世]土坑　礎石　道路状遺構　建物址　建物基礎　石積・石組　埋桝　石組下水　植栽痕　上水桝　上水木樋　竹","陶磁器　木製品　人骨　瓦類　金属製品　土製品　木製品　銭貨　石製品　骨角貝製品　ガラス製品　動植物遺体　縄文土器　土師器（古墳時代、奈良時代　平安時代）　中世土器・陶器　他",139.7774141,35.6911266,TRUE
13103000100,13103,"1","あおやまぼちないかいづか","青山墓地内貝塚","港区 南青山二丁目","[縄文時代（早期・中期〜後期）]","包蔵地・貝塚","","縄文土器　打斧　磨石",139.7195241,35.66801712,TRUE
13103000200,13103,"2","","港区No.2遺跡","港区 南青山二丁目","[縄文時代][弥生時代]","包蔵地・貝塚","","縄文土器　石鏃　弥生土器",139.7220303,35.66494895,TRUE
13103000300,13103,"3","","港区No.3遺跡","港区 南青山四丁目","[縄文時代]","貝塚","","",139.7170178,35.66430742,TRUE
13103000500,13103,"5","あかさかごようちないいせき","赤坂御用地内遺跡","港区 元赤坂二丁目","[縄文時代][弥生時代][古墳時代]","包蔵地","","縄文土器　弥生土器　土錘　土師器　黒曜石剥片",139.7275235,35.67749979,TRUE
13103000900,13103,"9","ながとはぎはんもうりけやしきあといせき","長門萩藩毛利家屋敷跡遺跡","港区 赤坂九丁目","[旧石器時代][縄文時代][古墳時代][近世]","集落・屋敷（大名）","[縄文時代]土坑　[古墳時代]住居　[近世]井戸　土坑　溝","縄文土器　土師器　陶磁器　石器　瓦",139.7304227,35.66606467,TRUE
13103000902,13103,"9-2","ながとはぎはんもうりけやしきあとだいにいせき","長門萩藩毛利家屋敷跡第２遺跡","港区 赤坂九丁目","[縄文時代][近世]","包蔵地　屋敷","土留め柵","縄文土器　石匙　陶磁器　土器",139.7324483,35.66653884,TRUE
13103001800,13103,"18","にしくぼはちまんかいづか","西久保八幡貝塚","港区 虎ノ門五丁目","[縄文時代（後期）]","貝塚","","縄文土器　打斧　砥石　骨角器　獣・魚骨　陶磁器",139.7427521,35.66141948,TRUE
13103002300,13103,"23","まるやまかいづか","丸山貝塚","港区 芝公園四丁目","[縄文時代（後期）]","貝塚","","縄文土器　磨斧　石匙　石錘",139.7485145,35.65458354,TRUE
13103002900,13103,"29","こうようかんないかいづかいせき","紅葉館内貝塚遺跡","港区 芝公園四丁目","[縄文時代][弥生時代][古墳時代]","集落・貝塚","住居跡","縄文土器　磨斧　石鏃",139.7454246,35.65865633,TRUE
13103003000,13103,"30","","港区No.30遺跡","港区 麻布台一丁目","[縄文時代（後期）]","貝塚","","縄文土器",139.7426917,35.65816862,TRUE
13103003100,13103,"31","ぞうじょうじしもやしきあといせき","増上寺下屋敷跡遺跡","港区 麻布狸穴町","[縄文時代][近世]","社寺","","縄文土器　打斧　陶磁器　木製品　銭貨　人骨",139.7396279,35.65899265,TRUE
13103003800,13103,"38","","港区No.38遺跡","港区 西麻布一丁目　 西麻布三丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.7256352,35.66043017,TRUE
13103003900,13103,"39","","港区No.39遺跡","港区 西麻布一丁目","[縄文時代]","包蔵地","","縄文土器",139.7240903,35.66107175,TRUE
13103004000,13103,"40","","港区No.40遺跡","港区 西麻布二丁目　 西麻布四丁目","[縄文時代]","包蔵地","","縄文土器",139.72076,35.65945386,TRUE
13103004100,13103,"41","","港区No.41遺跡","港区 元麻布三丁目","[縄文時代]","貝塚","","石斧",139.7280751,35.65772341,TRUE
13103004200,13103,"42","","港区No.42遺跡","港区 元麻布三丁目","[縄文時代（後期）]","包蔵地","","縄文土器",139.7324353,35.65678891,TRUE
13103004300,13103,"43","","港区No.43遺跡","港区 元麻布二丁目","[縄文時代（後期）]","包蔵地・貝塚","","縄文土器　打斧　石鏃",139.7270451,35.65443168,TRUE
13103004400,13103,"44","","港区No.44遺跡","港区 元麻布二丁目","[縄文時代（後期）]","包蔵地","","縄文土器",139.7296029,35.65494777,TRUE
13103004500,13103,"45","","港区No.45遺跡","港区 元麻布二丁目","[縄文時代（前期・中期）][近世]","包蔵地","","縄文土器　打斧　焼塩壺",139.7310105,35.65480829,TRUE
13103004600,13103,"46","","港区No.46遺跡","港区 元麻布一丁目","[縄文時代（中期）]","貝塚","","磨斧",139.7326756,35.65346924,TRUE
13103004800,13103,"48","","港区No.48遺跡","港区 南麻布五丁目","[縄文時代]","包蔵地","","打斧",139.7260323,35.65146064,TRUE
13103005000,13103,"50","","港区No.50遺跡","港区 南麻布三丁目","[縄文時代]","包蔵地","","縄文土器",139.729311,35.65173961,TRUE
13103005100,13103,"51","ほんむらちょうかいづかいせき","本村町貝塚","港区 南麻布三丁目","[縄文時代（前期）]","貝塚","","縄文土器　魚骨",139.7295685,35.64860108,TRUE
13103006000,13103,"60","いさらごかいづかいせき","伊皿子貝塚遺跡","港区 三田四丁目","[縄文時代（後期）][弥生時代][古墳時代][平安時代][近世]","集落・貝塚・社寺","[縄文時代]住居　土坑　[弥生時代]方形周溝墓　[古墳時代]住居　[平安時代]住居 [近世]礎石　溝状遺構　石垣","縄文土器　弥生土器　土師器　土製品　石製品　貝製品　牛骨　魚骨　陶磁器",139.739954,35.64150056,TRUE
13103006400,13103,"64","たかなわみなみまちいせき","高輪南町遺跡","港区 高輪三丁目","[縄文時代（中期）][弥生時代（後期）][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷・その他（道路）","住居跡　炉跡　土坑　道路状遺構　竪穴建物跡　方形周溝墓　焼土廃棄土坑　地下室","[縄文時代][弥生時代][古墳時代]土器　[奈良・平安時代]土師器　須恵器　石器　[近世]陶磁器　土器　金属製品",139.7332249,35.63236242,TRUE
13103006500,13103,"65","","港区No.65遺跡","港区 白金六丁目","[縄文時代（中期）]","包蔵地","","石器",139.7242985,35.64336992,TRUE
13103006600,13103,"66","","港区No.66遺跡","港区 白金台五丁目","[縄文時代][近世]","包蔵地","","縄文土器　陶磁器",139.719492,35.6363945,TRUE
13103006700,13103,"67","きゅうしろがねごりょうちいせき","旧白金御料地遺跡","港区 白金台五丁目","[縄文時代（早～後）][中世][近世]","包蔵地　城館　屋敷","[中世]土塁[近世]土坑　溝　ピット　配石","[縄文時代]土器[近世]陶磁器　土器　金属製品",139.7184964,35.63854299,TRUE
13103006800,13103,"68","","港区No.68遺跡","港区 白金台五丁目","[縄文時代（前期）]","包蔵地","","縄文土器　石斧",139.719772,35.639008,TRUE
13103006900,13103,"69","きゅうしろがねごりょうちないぶけやしきあといせき","旧白金御料地内武家屋敷跡遺跡","港区 白金台五丁目","[旧石器時代][縄文時代][弥生時代][近世]","包蔵地　武家屋敷","[旧石器時代]礫群[近世]建物　礎石　土坑　地下室　ピット群　土坑　井戸　溝　溝状遺構　土壙墓　石組","[旧石器時代]剥片[縄文時代]縄文土器[弥生時代]弥生土器[近世]陶磁器　土器　土製品　瓦　石製品　金属製品　木製品　ガラス製品　骨製品　玩具　銭貨　動植物遺体",139.719772,35.639008,TRUE
13103007000,13103,"70","きゅうかいぐんぼちかいづか","旧海軍基地貝塚","港区 白金台一丁目","[縄文時代（中期）]","貝塚","","縄文土器　打斧",139.730617,35.63866054,TRUE
13103007500,13103,"75","みただいまちいせき","三田台町遺跡","港区 三田四丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代]","集落","[弥生時代]?　住居　[古墳時代]住居","石器　縄文土器　弥生土器　土師器　須恵器",139.7391129,35.64187723,TRUE
13103009900,13103,"99","むつはちのへはんなんぶけやしきあとかそういせき","陸奥八戸藩南部家屋敷跡下層遺跡","港区 六本木一丁目","[縄文時代（前期〜中期）][弥生時代][古墳時代]","集落","[弥生時代]住居　溝","縄文土器　けつ状耳飾　弥生土器　土師器",139.7407608,35.66317679,TRUE
13103010000,13103,"100","","港区No.100遺跡","港区 虎ノ門四丁目","[縄文時代（前期〜後期）][弥生時代][古墳時代][奈良時代][平安時代]","包蔵地","","縄文土器　打斧　磨斧　磨石　弥生土器　土師器　須恵器",139.7431641,35.66505958,TRUE
13103011800,13103,"118","","港区No.118遺跡","港区 東新橋一丁目","[縄文時代（早期）]","包蔵地","","縄文土器",139.7613828,35.66359362,TRUE
13103013300,13103,"133","おうみやまがみはんいながきけやしきあといせき","近江山上藩稲垣家屋敷跡遺跡","港区 六本木一丁目","[縄文時代（前）][古墳時代][奈良時代][近世]","集落跡　屋敷","[縄文時代]住居跡[古墳時代]住居跡[奈良時代]住居跡[近世]土坑　地下室　井戸　廃棄土坑　上水跡","[縄文時代]土器[古墳時代]土師器[奈良時代]須恵器[近世]陶磁器　土器　瓦",139.74222,35.66511537,TRUE
13103014901,13103,"149-1","あたごしただいいちいせき","愛宕下第1遺跡","港区 虎ノ門一丁目","[縄文時代（中期〜後期）][近世]","包蔵地・屋敷","","",139.7491173,35.66666114,TRUE
13103015600,13103,"156","いわみつわのはんかめいけやしきあといせき","石見津和野藩亀井家屋敷跡遺跡","港区 南麻布四丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・墳墓・屋敷","土坑　礎石　道路状遺構　大型方形区画　井戸　墳墓","[縄文時代]土器　[中世]陶器　[江]陶磁器　土器　瓦",139.7271824,35.65049816,TRUE
13103019200,13103,"192","きたあおやまさんちょうめ","北青山三丁目遺跡","港区 北青山三丁目","[縄文時代][近世]","包蔵地・屋敷","溝状遺構　土坑　ピット","[縄文時代]土器　[近世]陶磁器　土器",139.7130353,35.66718036,TRUE
13104000100,13104,"1","くずがやごりょうじんじゃいせき","葛ヶ谷御霊神社遺跡","新宿区 西落合二丁目","[縄文時代][弥生時代（後期）]","包蔵地","","土器　石器",139.6763314,35.72162653,TRUE
13104000200,13104,"2","おちあいいせき","落合遺跡","新宿区 中落合四丁目　 中井一丁目　 中井二丁目","[旧石器時代][縄文時代（早期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[旧石器時代]礫群　[縄文時代]竪穴住居　土坑　炉跡　集石　土器焼成坑　ピット　[弥生時代]竪穴住居　掘立柱建物跡　方形周溝墓　[古墳時代]住居　[奈良時代][平安時代]掘立柱建物　竪穴住居跡　土坑　[近世]杭列　焼土　溝状遺構　ピット　[時期不明]建物　住居　ピット　溝","石器　ナイフ形石器　石核　剥片　砕片　縄文土器　打斧　石槍　石鏃　石核　弥生土器　石包丁　土師器　須恵器　鉄製品　陶磁器　刀子　砥石　坏",139.6805457,35.71627471,TRUE
13104000400,13104,"4","","新宿区No.4遺跡","新宿区 下落合四丁目","[縄文時代]","包蔵地","","",139.6963728,35.71725033,TRUE
13104000500,13104,"5","","新宿区No.5遺跡","新宿区 西落合一丁目","[縄文時代]","包蔵地","","縄文土器",139.6819189,35.72173802,TRUE
13104001000,13104,"10","とやまがはらうえのだいいせき","戸山ヶ原上ノ台遺跡","新宿区 百人町四丁目　 北新宿四丁目","[旧石器時代][縄文時代（中期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代]","包蔵地・集落","[旧石器時代]集中地点　[縄文時代]竪穴住居跡　土坑　炉穴　集石　ピット　[古墳時代]竪穴住居跡　住居跡　ピット　[近世]土坑　ピット","ナイフ形石器　角錐状石器　リタッチドフレイク　フレイク　チップ　縄文土器　土偶　土製垂飾品　石器　弥生土器　土師器　　灰釉陶器　鉄器　陶磁器類　煙草吸口　銭貨　笄　ガラス瓶類",139.6947029,35.70849936,TRUE
